,ATTIVITÀ,DESCRIZIONE ATTIVITÀ,INIZIO,FINE,DURATA,IMPORTO
0,Allestimento del cantiere,Allestimento del cantiere,30/06/2023,07/07/2023,7,0
1,Lavori di rimozione,Lavori di rimozione,07/07/2023,21/08/2023,45,69239.59
2,Lavori di demolizione,Lavori di demolizione,21/08/2023,04/11/2023,75,390980.68
3,Opere strutturali in fondazione,Opere strutturali in fondazione,04/11/2023,19/12/2023,45,1116620.79
4,Opere strutturali in elevazione,Opere strutturali in elevazione,19/12/2023,17/02/2024,60,1395422.54
5,Chiusure verticali,Chiusure verticali,17/02/2024,02/05/2024,75,503247.08
6,Chiusure orizzontali,Chiusure orizzontali,02/05/2024,11/07/2024,70,359847.01
7,Opere impiantistiche,Opere impiantistiche,11/07/2024,18/11/2024,130,1132010.59
8,Partizioni verticali,Partizioni verticali,18/11/2024,17/01/2025,60,369595.95
9,Partizioni orizzontali,Partizioni orizzontali,17/01/2025,23/03/2025,65,563166.72
10,Opere edili di finitura,Opere edili di finitura,23/03/2025,11/07/2025,110,326651.83
11,Infissi e schermature solari,Infissi e schermature solari,11/07/2025,05/08/2025,25,704348.14
12,Opere in ferro,Opere in ferro,05/08/2025,25/08/2025,20,125759.17
13,Opere di sistemazione esterna,Opere di sistemazione esterna,25/08/2025,28/11/2025,95,278954.56
14,Opere a verde e arredo urbano,Opere a verde e arredo urbano,28/11/2025,22/01/2026,55,73661.61
15,Smobilizzo del cantiere,Smobilizzo del cantiere,22/01/2026,29/01/2026,7,0
